epoch,time_elapsed,rollout_ep_steps,total_rollout_steps,rollout_return,actor_lr,critic_lr,,,,,
5.100337267,6800,0.001,200,-235.178571,33,0.0001,,,,,
5.139974117,7000,0.001,200,-236.2356901,34,0.0001,,,,,
5.178685427,7200,0.001,200,-231.9656686,35,0.0001,,,,,
5.219699383,7400,0.001,200,-229.2748836,36,0.0001,,,,,
5.259727955,7600,0.001,200,-221.0646143,37,0.0001,,,,,
5.299255133,7800,0.001,200,-224.3004967,38,0.0001,,,,,
5.33808589,8000,0.001,200,-230.932921,39,0.0001,,,,,
5.377819538,8200,0.001,200,-234.7670212,40,0.0001,,,,,
5.418251038,8400,0.001,200,-236.0526285,41,0.0001,,,,,
5.457145214,8600,0.001,200,-235.2359944,42,0.0001,,,,,
5.494693518,8800,0.001,200,-234.4580767,43,0.0001,,,,,
5.534399748,9000,0.001,200,-234.5567523,44,0.0001,,,,,
5.573547363,9200,0.001,200,-228.1080219,45,0.0001,,,,,
5.612742662,9400,0.001,200,-236.9583597,46,0.0001,,,,,
5.65091157,9600,0.001,200,-233.7156883,47,0.0001,,,,,
5.690938234,9800,0.001,200,-227.4988368,48,0.0001,,,,,
5.729251862,10000,0.001,200,-234.0371341,49,0.0001,,,,,
5.981356859,10200,0.001,200,-200.6278586,50,0.0001,,,,0.7286429,0.3182919
6.227096558,10400,0.001,200,-251.603159,51,0.0001,,,,0.83212644,0.2975416
6.473026514,10600,0.001,200,-251.3788981,52,0.0001,,,,0.90097845,0.2988048
6.721991777,10800,0.001,200,-263.7844517,53,0.0001,,,,0.9649634,0.2971269
6.971268177,11000,0.001,200,-263.73892,54,0.0001,,,,1.0362396,0.29746303
7.214765072,11200,0.001,200,-303.3868844,55,0.0001,,,,1.1082098,0.30176553
7.461932182,11400,0.001,200,-283.4215016,56,0.0001,,,,1.1816516,0.29657954
7.702028751,11600,0.001,200,-251.801469,57,0.0001,,,,1.1958628,0.29717088
7.939042091,11800,0.001,200,-271.6316082,58,0.0001,,,,1.2637395,0.29554108
8.178022623,12000,0.001,200,-287.7572518,59,0.0001,,,,1.3448306,0.29797292
8.418043137,12200,0.001,200,-263.9706279,60,0.0001,,,,1.4187506,0.28852773
8.654507637,12400,0.001,200,-258.9439779,61,0.0001,,,,1.4991753,0.2934037
8.889194012,12600,0.001,200,-261.3187363,62,0.0001,,,,1.5606956,0.2880166
9.126019478,12800,0.001,200,-272.8219444,63,0.0001,,,,1.6208142,0.28714862
9.361836433,13000,0.001,200,-270.1044677,64,0.0001,,,,1.6699377,0.30533063
9.601449728,13200,0.001,200,-258.5897894,65,0.0001,,,,1.7378795,0.3044029
9.835238695,13400,0.001,200,-259.0495121,66,0.0001,,,,1.8147554,0.29701346
10.07478571,13600,0.001,200,-263.3205372,67,0.0001,,,,1.8855432,0.30700028
10.31262445,13800,0.001,200,-275.1010341,68,0.0001,,,,1.9528264,0.29799536
10.55070758,14000,0.001,200,-268.0815947,69,0.0001,,,,2.0315566,0.3089495
10.78422642,14200,0.001,200,-296.5873372,70,0.0001,,,,2.085361,0.30720615
11.01800847,14400,0.001,200,-292.8965082,71,0.0001,,,,2.1444275,0.31666774
11.25293422,14600,0.001,200,-246.7642649,72,0.0001,,,,2.2267382,0.31039765
11.48927116,14800,0.001,200,-239.5284091,73,0.0001,,,,2.3169565,0.30937544
11.72589421,15000,0.001,200,-256.2687693,74,0.0001,,,,2.3660128,0.31321967
11.96220136,15200,0.001,200,-268.0349126,75,0.0001,,,,2.4677644,0.30651578
12.1998229,15400,0.001,200,-285.2980347,76,0.0001,,,,2.541273,0.3078914
12.43480968,15600,0.001,200,-264.6751707,77,0.0001,,,,2.604832,0.31049532
12.66923499,15800,0.001,200,-250.888591,78,0.0001,,,,2.6753738,0.30957156
12.90883136,16000,0.001,200,-251.8801854,79,0.0001,,,,2.7487922,0.3107574
